condition,score,full_generated,full_filled,full_decided,full_wins,full_fill_rate,full_win_rate,full_avg_pips,full_ev_per_signal,train_generated,train_filled,train_decided,train_wins,train_fill_rate,train_win_rate,train_avg_pips,train_ev_per_signal,test_generated,test_filled,test_decided,test_wins,test_fill_rate,test_win_rate,test_avg_pips,test_ev_per_signal
方向=売り / H1_RSI=30-40,6.912843448536426,949,836,836,692,0.880927291886196,0.8277511961722488,6.432655502392344,5.666701791359325,838,763,763,647,0.9105011933174224,0.8479685452162516,6.846264744429882,6.233532219570406,111,73,73,45,0.6576576576576577,0.6164383561643836,2.10958904109589,1.3873873873873872
注文方式=即時 / ライン側=下 / コア強度=0-5,6.371930890120651,1550,1550,1547,984,1.0,0.6360698125404007,3.144602456367162,3.138516129032258,1308,1308,1306,864,1.0,0.6615620214395099,3.5594180704441043,3.553975535168196,242,242,241,120,1.0,0.4979253112033195,0.8966804979253108,0.8929752066115699
方向=売り / 時間帯=00-05 / M5_RSI=40-50,5.679390481109025,715,468,464,277,0.6545454545454545,0.5969827586206896,2.4426724137931033,1.585174825174825,611,391,387,234,0.6399345335515548,0.6046511627906976,2.64625322997416,1.676104746317512,104,77,77,43,0.7403846153846154,0.5584415584415584,1.4194805194805191,1.050961538461538
時間帯=09-14 / M5_RSI=50-60 / 最寄H1抵抗強度=5-10,2.979930980566334,455,187,187,99,0.41098901098901097,0.5294117647058824,1.6524064171122992,0.679120879120879,344,119,119,64,0.34593023255813954,0.5378151260504201,1.8285714285714283,0.6325581395348836,111,68,68,35,0.6126126126126126,0.5147058823529411,1.3441176470588232,0.8234234234234232
H1_RSI=40-50 / コア強度=0-5 / 最寄H1抵抗強度=0-5,2.032913872229766,439,233,232,111,0.530751708428246,0.47844827586206895,0.8646551724137929,0.45694760820045544,309,156,155,73,0.5048543689320388,0.47096774193548385,0.8516129032258063,0.4271844660194174,130,77,77,38,0.5923076923076923,0.4935064935064935,0.8909090909090907,0.5276923076923076
ライン側=下 / 時間帯=06-08 / 直近ピークRSI=40-50,1.458094603143973,736,348,348,176,0.47282608695652173,0.5057471264367817,0.7482758620689655,0.35380434782608694,625,281,281,139,0.4496,0.49466192170818507,0.69644128113879,0.31312,111,67,67,37,0.6036036036036037,0.5522388059701493,0.9656716417910448,0.5828828828828829
注文方式=指値 / ライン側=下 / 前回ピークRSI=60-67.5,0.877686598941217,849,138,137,84,0.1625441696113074,0.6131386861313869,2.252554744525548,0.36348645465253243,609,92,91,58,0.1510673234811166,0.6373626373626373,2.521978021978022,0.3768472906403941,240,46,46,26,0.19166666666666668,0.5652173913043478,1.7195652173913045,0.3295833333333334
時間帯=09-14 / 前回ピークRSI=50-60,0.7625223552487163,765,361,361,169,0.4718954248366013,0.46814404432132967,0.6188365650969526,0.2920261437908495,627,272,272,124,0.43381180223285487,0.45588235294117646,0.341176470588235,0.14800637958532684,138,89,89,45,0.644927536231884,0.5056179775280899,1.4674157303370783,0.9463768115942026
ライン側=下 / ライン強度=0-5,0.6577115740353633,1127,169,169,88,0.14995563442768411,0.5207100591715976,1.6792899408284028,0.25181898846495127,844,101,101,51,0.11966824644549763,0.504950495049505,1.7534653465346537,0.20983412322274883,283,68,68,37,0.24028268551236748,0.5441176470588235,1.5691176470588237,0.3770318021201414
方向=売り / エントリー型=ブレイク,0.4474453819399902,6011,2813,2806,1496,0.46797537847279985,0.5331432644333571,1.417177476835353,0.6615538180003327,4784,2236,2230,1229,0.4673913043478261,0.5511210762331838,1.7433183856502241,0.8126254180602006,1227,577,576,267,0.4702526487367563,0.4635416666666667,0.1545138888888887,0.07253463732681327
