rank,condition,score,full_generated,full_filled,full_decided,full_wins,train_generated,train_filled,train_decided,train_wins,test_generated,test_filled,test_decided,test_wins,full_fill_rate,full_win_rate,full_avg_pips,full_ev_signal,train_fill_rate,train_win_rate,train_avg_pips,train_ev_signal,test_fill_rate,test_win_rate,test_avg_pips,test_ev_signal
1,direction_label=sell / h1_rsi_bin=30-40,6.912843448536426,949,836,836,692,838,763,763,647,111,73,73,45,0.880927291886196,0.8277511961722488,6.432655502392344,5.666701791359325,0.9105011933174224,0.8479685452162516,6.846264744429882,6.233532219570406,0.6576576576576577,0.6164383561643836,2.10958904109589,1.3873873873873872
2,direction_label=sell / session_bucket=00-05 / m5_rsi_bin=40-50,5.679390481109025,715,468,464,277,611,391,387,234,104,77,77,43,0.6545454545454545,0.5969827586206896,2.4426724137931033,1.585174825174825,0.6399345335515548,0.6046511627906976,2.64625322997416,1.676104746317512,0.7403846153846154,0.5584415584415584,1.4194805194805191,1.050961538461538
3,direction_label=sell / latest_peak_rsi_bin=40-50 / line_strength_bin=5-8,3.3027696713050405,1180,1024,1022,760,1035,913,911,706,145,111,111,54,0.8677966101694915,0.7436399217221135,4.987671232876712,4.319830508474576,0.8821256038647343,0.7749725576289791,5.507354555433589,4.847536231884058,0.7655172413793103,0.4864864864864865,0.7225225225225221,0.5531034482758618
4,direction_label=sell / core_strength_bin=0-5,2.2875390952410672,3602,1896,1892,1142,2843,1535,1532,963,759,361,360,179,0.5263742365352582,0.6035940803382663,2.6261627906976743,1.3794280955024985,0.539922616953922,0.6285900783289817,3.046018276762402,1.6413999296517763,0.4756258234519104,0.49722222222222223,0.8394444444444442,0.398155467720685
5,h1_rsi_bin=40-50 / core_strength_bin=0-5 / h1_nearest_strength_bin=0-5,2.032913872229766,439,233,232,111,309,156,155,73,130,77,77,38,0.530751708428246,0.47844827586206895,0.8646551724137929,0.45694760820045544,0.5048543689320388,0.47096774193548385,0.8516129032258063,0.4271844660194174,0.5923076923076923,0.4935064935064935,0.8909090909090907,0.5276923076923076
6,line_side=lower / previous_peak_rsi_bin=50-60 / path1_strength_bin=5-8,1.5562352314784338,494,341,341,166,361,258,258,120,133,83,83,46,0.6902834008097166,0.4868035190615836,0.6457478005865099,0.4457489878542508,0.7146814404432132,0.46511627906976744,0.43720930232558103,0.3124653739612186,0.6240601503759399,0.5542168674698795,1.2939759036144576,0.8075187969924811
7,m5_rsi_bin=40-50 / line_strength_bin=5-8 / core_strength_bin=0-5,1.338284697811059,1896,1633,1631,772,1721,1515,1513,716,175,118,118,56,0.8612869198312236,0.4733292458614347,0.2925199264255057,0.25163502109704633,0.8803021499128414,0.47323198942498346,0.27124917382683406,0.2384660081348053,0.6742857142857143,0.4745762711864407,0.5652542372881353,0.3811428571428569
8,direction_label=buy / session_bucket=09-14 / h1_nearest_strength_bin=5-8,0.8392038553827639,554,168,168,85,331,114,114,55,223,54,54,30,0.30324909747292417,0.5059523809523809,1.2136904761904759,0.3680505415162454,0.34441087613293053,0.4824561403508772,0.8192982456140347,0.2821752265861026,0.242152466367713,0.5555555555555556,2.046296296296296,0.4955156950672645
9,session_bucket=09-14 / previous_peak_rsi_bin=50-60,0.7625223552487163,765,361,361,169,627,272,272,124,138,89,89,45,0.4718954248366013,0.46814404432132967,0.6188365650969526,0.2920261437908495,0.43381180223285487,0.45588235294117646,0.341176470588235,0.14800637958532684,0.644927536231884,0.5056179775280899,1.4674157303370783,0.9463768115942026
10,line_side=lower / line_strength_bin=0-5,0.6577115740353633,1127,169,169,88,844,101,101,51,283,68,68,37,0.14995563442768411,0.5207100591715976,1.6792899408284028,0.25181898846495127,0.11966824644549763,0.504950495049505,1.7534653465346537,0.20983412322274883,0.24028268551236748,0.5441176470588235,1.5691176470588237,0.3770318021201414
