condition,score,full_generated,full_filled,full_decided,full_wins,full_fill_rate,full_win_rate,full_avg_pips,full_ev_per_signal,train_generated,train_filled,train_decided,train_wins,train_fill_rate,train_win_rate,train_avg_pips,train_ev_per_signal,test_generated,test_filled,test_decided,test_wins,test_fill_rate,test_win_rate,test_avg_pips,test_ev_per_signal
方向=売り / 前回ピークRSI=50-60 / ライン強度=15-20,9.245349678430024,1059,846,846,707,0.7988668555240793,0.8356973995271868,9.627541371158392,7.691123701605288,921,766,766,662,0.8317046688382194,0.8642297650130548,10.281984334203655,8.55157437567861,138,80,80,45,0.5797101449275363,0.5625,3.3612499999999996,1.948550724637681
時間帯=15-20 / M5_RSI=40-50 / 前回ピークRSI=50-60,7.220913534860092,1452,938,938,484,0.6460055096418733,0.5159914712153518,2.4533049040511723,1.5848484848484847,1216,752,752,401,0.618421052631579,0.5332446808510638,2.7238031914893615,1.6844572368421051,236,186,186,83,0.788135593220339,0.44623655913978494,1.3596774193548387,1.0716101694915254
直近ピークRSI=40-50 / 前回ピークRSI=50-60 / 最寄H1抵抗強度=10-15,5.415514538877268,492,363,363,180,0.7378048780487805,0.49586776859504134,1.2977961432506886,0.9575203252032519,314,233,233,123,0.7420382165605095,0.5278969957081545,1.2167381974248928,0.9028662420382165,178,130,130,57,0.7303370786516854,0.43846153846153846,1.443076923076923,1.0539325842696627
コア強度=0-5 / 最寄H1抵抗強度=10-15 / 進路H1距離=6-10p,4.262950947564753,418,247,247,110,0.5909090909090909,0.44534412955465585,1.6502024291497974,0.9751196172248803,289,170,170,75,0.5882352941176471,0.4411764705882353,1.5164705882352938,0.8920415224913493,129,77,77,35,0.5968992248062015,0.45454545454545453,1.9454545454545453,1.1612403100775193
方向=売り / ライン側=下 / コア強度=10-15,2.9446332890479514,1241,962,962,729,0.7751813053988719,0.7577962577962578,8.191995841995842,6.350282030620467,1086,853,853,681,0.785451197053407,0.798358733880422,9.14419695193435,7.18232044198895,155,109,109,48,0.7032258064516129,0.44036697247706424,0.7403669724770641,0.5206451612903225
ライン側=下 / 時間帯=15-20 / 進路H1抵抗強度=5-10,2.1089243470034535,1638,823,823,421,0.5024420024420024,0.511543134872418,2.280801944106926,1.145970695970696,1376,647,647,340,0.470203488372093,0.5255023183925811,2.7604327666151467,1.2979651162790695,262,176,176,81,0.6717557251908397,0.4602272727272727,0.5176136363636362,0.34770992366412207
方向=売り / 時間帯=06-08 / TP最終到達経過=361-720m,1.7376185515268858,1047,296,296,170,0.282712511938873,0.5743243243243243,3.4726351351351354,0.9817574021012417,835,237,237,136,0.2838323353293413,0.5738396624472574,3.8493670886075946,1.092574850299401,212,59,59,34,0.2783018867924528,0.576271186440678,1.9593220338983055,0.5452830188679246
時間帯=21-23 / H1_RSI=40-50 / 前回ピークRSI=60-67.5,1.6520521851395582,428,224,222,102,0.5233644859813084,0.4594594594594595,0.7157657657657657,0.3712616822429906,305,153,153,70,0.5016393442622951,0.45751633986928103,0.7483660130718953,0.3754098360655737,123,71,69,32,0.5772357723577236,0.463768115942029,0.643478260869565,0.3609756097560975
方向=買い / H1_RSI=<=30 / 最寄H1抵抗強度=5-10,1.2475938365960768,879,166,164,83,0.18885096700796358,0.5060975609756098,1.9487804878048782,0.3635949943117179,778,101,99,53,0.12982005141388175,0.5353535353535354,2.9626262626262627,0.3769922879177378,101,65,65,30,0.6435643564356436,0.46153846153846156,0.4046153846153849,0.26039603960396057
方向=売り / H1_RSI=40-50 / 進路H1距離=6-10p,1.1743628129229369,741,422,417,170,0.5695006747638327,0.407673860911271,0.6383693045563549,0.35924426450742236,530,296,292,116,0.5584905660377358,0.3972602739726027,0.4017123287671232,0.2213207547169811,211,126,125,54,0.5971563981042654,0.432,1.1911999999999998,0.7056872037914691
