elapsed_bin,pair,orders,filled,decided,wins,average_pips,fill_rate,win_rate_after_fill,ev_per_signal
31-60m,USD_JPY,56,40,40,21,0.1124999999999999,0.7142857142857143,0.525,0.0803571428571428
61-180m,USD_JPY,2234,1427,1427,537,-1.007638402242467,0.6387645478961504,0.37631394533987383,-0.6436436884512088
181-360m,USD_JPY,4625,2623,2623,1752,2.5735417460922605,0.5671351351351351,0.6679374761723218,1.4595459459459459
361-720m,USD_JPY,1141,592,590,235,-0.2596610169491528,0.5188431200701139,0.3983050847457627,-0.13426818580192826
721-1440m,USD_JPY,1152,853,853,672,8.787221570926143,0.7404513888888888,0.7878077373974208,6.506510416666667
1441-2880m,USD_JPY,907,163,163,83,1.6914110429447853,0.17971334068357223,0.50920245398773,0.3039691289966924
2881-4320m,USD_JPY,317,137,137,52,-0.9467153284671534,0.43217665615141954,0.3795620437956204,-0.4091482649842272
4321-7200m,USD_JPY,248,112,112,55,2.120535714285714,0.45161290322580644,0.49107142857142855,0.9576612903225805
7201-10080m,USD_JPY,30,27,27,8,-3.003703703703704,0.9,0.2962962962962963,-2.7033333333333336
10081-15000m,USD_JPY,22,18,18,8,0.5722222222222219,0.8181818181818182,0.4444444444444444,0.46818181818181787
15001m+,USD_JPY,44,43,43,21,0.7651162790697672,0.9772727272727273,0.4883720930232558,0.7477272727272726
no_touch_in_history,USD_JPY,698,669,669,32,-4.787892376681615,0.9584527220630372,0.04783258594917788,-4.588968481375359
31-60m,EUR_USD,264,205,205,89,-0.4146341463414635,0.7765151515151515,0.43414634146341463,-0.321969696969697
61-180m,EUR_USD,13361,5071,5068,1807,-1.025197316495659,0.37953745977097525,0.35655090765588004,-0.3888705935184492
181-360m,EUR_USD,13832,4181,4178,1450,-1.0489707994255626,0.3022700983227299,0.34705600765916705,-0.316844997108155
361-720m,EUR_USD,8486,2896,2893,1447,2.2978568959557553,0.3412679707753948,0.50017283097131,0.7833726137167099
721-1440m,EUR_USD,2182,1292,1292,437,-1.0924148606811146,0.5921173235563703,0.3382352941176471,-0.6468377635197068
1441-2880m,EUR_USD,2999,665,665,196,-1.5581954887218046,0.2217405801933978,0.29473684210526313,-0.345515171723908
2881-4320m,EUR_USD,2430,884,878,302,-1.3822323462414579,0.36378600823045265,0.3439635535307517,-0.49942386831275715
4321-7200m,EUR_USD,2160,456,455,171,0.028351648351648263,0.2111111111111111,0.3758241758241758,0.005972222222222203
7201-10080m,EUR_USD,661,339,337,104,-1.3614243323442137,0.5128593040847201,0.3086053412462908,-0.6940998487140696
10081-15000m,EUR_USD,1186,332,330,160,2.1324242424242423,0.2799325463743676,0.48484848484848486,0.5933389544688027
15001m+,EUR_USD,320,143,143,48,-0.7923076923076924,0.446875,0.3356643356643357,-0.35406250000000006
no_touch_in_history,EUR_USD,1874,583,583,195,-0.7324185248713552,0.3110992529348986,0.3344768439108062,-0.22785485592315904
31-60m,AUD_USD,36,23,23,13,0.7956521739130433,0.6388888888888888,0.5652173913043478,0.5083333333333333
61-180m,AUD_USD,1579,874,873,353,-1.1107674684994275,0.5535148828372387,0.4043528064146621,-0.6141228625712478
181-360m,AUD_USD,4673,1773,1769,1076,2.6884115319389488,0.3794136528996362,0.6082532504239684,1.017718810186176
361-720m,AUD_USD,3831,1504,1501,349,-2.7604930046635583,0.3925867919603237,0.23251165889407063,-1.08157139128165
721-1440m,AUD_USD,2229,1073,1073,199,-4.510251630941286,0.48138178555406014,0.18546132339235788,-2.1711529834006282
1441-2880m,AUD_USD,1129,207,207,59,-2.1565217391304348,0.183348095659876,0.28502415458937197,-0.3953941541186891
2881-4320m,AUD_USD,1063,331,331,130,-0.6604229607250757,0.31138287864534336,0.39274924471299094,-0.20564440263405462
4321-7200m,AUD_USD,407,182,182,74,-0.486813186813187,0.44717444717444715,0.4065934065934066,-0.21769041769041778
7201-10080m,AUD_USD,87,79,79,29,-1.3797468354430382,0.9080459770114943,0.3670886075949367,-1.252873563218391
10081-15000m,AUD_USD,59,59,59,30,0.9050847457627116,1.0,0.5084745762711864,0.9050847457627116
15001m+,AUD_USD,65,63,56,16,-1.6267857142857147,0.9692307692307692,0.2857142857142857,-1.4015384615384618
no_touch_in_history,AUD_USD,215,170,168,45,-2.6904761904761907,0.7906976744186046,0.26785714285714285,-2.102325581395349
