pair,elapsed_bin,period,orders,filled,decided,wins,fill_rate,win_rate,avg_pips,ev_signal
USD_JPY,31-60m,test,9.0,8.0,8.0,3.0,0.8888888888888888,0.375,-1.9125,-1.7000000000000002
USD_JPY,31-60m,train,47.0,32.0,32.0,18.0,0.6808510638297872,0.5625,0.6187500000000001,0.42127659574468096
USD_JPY,61-180m,test,365.0,306.0,306.0,106.0,0.8383561643835616,0.3464052287581699,-1.6071895424836602,-1.3473972602739726
USD_JPY,61-180m,train,1869.0,1121.0,1121.0,431.0,0.5997859818084538,0.38447814451382695,-0.843978590544157,-0.5062065275548422
USD_JPY,181-360m,test,424.0,272.0,272.0,107.0,0.6415094339622641,0.39338235294117646,-0.5231617647058825,-0.3356132075471699
USD_JPY,181-360m,train,4201.0,2351.0,2351.0,1645.0,0.5596286598428946,0.6997022543598469,2.9318162484049344,1.6407283980004763
USD_JPY,361-720m,test,223.0,146.0,146.0,55.0,0.6547085201793722,0.3767123287671233,-0.576027397260274,-0.3771300448430493
USD_JPY,361-720m,train,918.0,446.0,444.0,180.0,0.485838779956427,0.40540540540540543,-0.15563063063063057,-0.07527233115468406
USD_JPY,721-1440m,test,696.0,652.0,652.0,609.0,0.9367816091954023,0.9340490797546013,12.095092024539877,11.330459770114942
USD_JPY,721-1440m,train,456.0,201.0,201.0,63.0,0.4407894736842105,0.31343283582089554,-1.9427860696517414,-0.856359649122807
USD_JPY,1441-2880m,test,52.0,46.0,46.0,15.0,0.8846153846153846,0.32608695652173914,-1.2413043478260868,-1.098076923076923
USD_JPY,1441-2880m,train,855.0,117.0,117.0,68.0,0.1368421052631579,0.5811965811965812,2.8444444444444446,0.3892397660818714
USD_JPY,2881-4320m,test,47.0,35.0,35.0,5.0,0.7446808510638298,0.14285714285714285,-4.691428571428572,-3.493617021276596
USD_JPY,2881-4320m,train,270.0,102.0,102.0,47.0,0.37777777777777777,0.46078431372549017,0.3382352941176471,0.12777777777777777
USD_JPY,4321-7200m,test,103.0,39.0,39.0,19.0,0.3786407766990291,0.48717948717948717,1.3538461538461537,0.512621359223301
USD_JPY,4321-7200m,train,145.0,73.0,73.0,36.0,0.503448275862069,0.4931506849315068,2.5301369863013696,1.2737931034482757
USD_JPY,7201-10080m,test,22.0,19.0,19.0,6.0,0.8636363636363636,0.3157894736842105,-3.2157894736842105,-2.7772727272727273
USD_JPY,7201-10080m,train,8.0,8.0,8.0,2.0,1.0,0.25,-2.5000000000000004,-2.5000000000000004
USD_JPY,10081-15000m,test,6.0,4.0,4.0,3.0,0.6666666666666666,0.75,6.125,4.083333333333333
USD_JPY,10081-15000m,train,16.0,14.0,14.0,5.0,0.875,0.35714285714285715,-1.014285714285714,-0.8874999999999997
USD_JPY,15001m+,test,24.0,23.0,23.0,11.0,0.9583333333333334,0.4782608695652174,1.169565217391304,1.120833333333333
USD_JPY,15001m+,train,20.0,20.0,20.0,10.0,1.0,0.5,0.3,0.3
USD_JPY,no_touch_in_history,test,653.0,628.0,628.0,14.0,0.9617151607963247,0.022292993630573247,-5.1734076433121015,-4.975344563552833
USD_JPY,no_touch_in_history,train,45.0,41.0,41.0,18.0,0.9111111111111111,0.43902439024390244,1.1170731707317074,1.017777777777778
EUR_USD,31-60m,test,70.0,56.0,56.0,23.0,0.8,0.4107142857142857,-0.8392857142857143,-0.6714285714285714
EUR_USD,31-60m,train,194.0,149.0,149.0,66.0,0.7680412371134021,0.4429530201342282,-0.2550335570469799,-0.1958762886597938
EUR_USD,61-180m,test,3595.0,1245.0,1243.0,432.0,0.3463143254520167,0.3475462590506838,-1.4104585679806918,-0.48767732962447846
EUR_USD,61-180m,train,9766.0,3826.0,3825.0,1375.0,0.3917673561335245,0.35947712418300654,-0.9,-0.3524984640589801
EUR_USD,181-360m,test,2577.0,1028.0,1028.0,348.0,0.39891346526969346,0.33852140077821014,-1.5375486381322956,-0.6133488552580519
EUR_USD,181-360m,train,11255.0,3153.0,3150.0,1102.0,0.2801421590404265,0.34984126984126984,-0.8895238095238095,-0.24895601954686805
EUR_USD,361-720m,test,1188.0,551.0,548.0,155.0,0.46380471380471383,0.28284671532846717,-2.4390510948905106,-1.125084175084175
EUR_USD,361-720m,train,7298.0,2345.0,2345.0,1292.0,0.32132090983831185,0.5509594882729211,3.4048187633262263,1.0940394628665389
EUR_USD,721-1440m,test,539.0,295.0,295.0,111.0,0.5473098330241187,0.376271186440678,-0.1108474576271186,-0.06066790352504636
EUR_USD,721-1440m,train,1643.0,997.0,997.0,326.0,0.6068167985392574,0.32698094282848544,-1.3828485456369106,-0.8391357273280583
EUR_USD,1441-2880m,test,905.0,170.0,170.0,47.0,0.1878453038674033,0.27647058823529413,-2.4882352941176467,-0.467403314917127
EUR_USD,1441-2880m,train,2094.0,495.0,495.0,149.0,0.23638968481375358,0.301010101010101,-1.2387878787878788,-0.29283667621776505
EUR_USD,2881-4320m,test,995.0,244.0,244.0,79.0,0.24522613065326634,0.3237704918032787,-1.3344262295081966,-0.32723618090452256
EUR_USD,2881-4320m,train,1435.0,640.0,634.0,223.0,0.445993031358885,0.35173501577287064,-1.4006309148264984,-0.6188153310104529
EUR_USD,4321-7200m,test,351.0,179.0,178.0,70.0,0.50997150997151,0.39325842696629215,0.43258426966292135,0.21937321937321938
EUR_USD,4321-7200m,train,1809.0,277.0,277.0,101.0,0.1531232725262576,0.36462093862815886,-0.23140794223826713,-0.03543394140409065
EUR_USD,7201-10080m,test,171.0,92.0,90.0,30.0,0.5380116959064327,0.3333333333333333,-0.996666666666667,-0.5245614035087721
EUR_USD,7201-10080m,train,490.0,247.0,247.0,74.0,0.5040816326530613,0.29959514170040485,-1.4943319838056681,-0.753265306122449
EUR_USD,10081-15000m,test,132.0,79.0,79.0,19.0,0.5984848484848485,0.24050632911392406,-2.381012658227848,-1.425
EUR_USD,10081-15000m,train,1054.0,253.0,251.0,141.0,0.24003795066413663,0.5617529880478087,3.5529880478087654,0.8461100569259963
EUR_USD,15001m+,test,110.0,47.0,47.0,10.0,0.42727272727272725,0.2127659574468085,-2.938297872340426,-1.2554545454545456
EUR_USD,15001m+,train,210.0,96.0,96.0,38.0,0.45714285714285713,0.3958333333333333,0.25833333333333347,0.11809523809523816
EUR_USD,no_touch_in_history,test,994.0,190.0,190.0,67.0,0.19114688128772636,0.3526315789473684,-0.27157894736842103,-0.05191146881287726
EUR_USD,no_touch_in_history,train,880.0,393.0,393.0,128.0,0.4465909090909091,0.3256997455470738,-0.9552162849872773,-0.4265909090909091
AUD_USD,31-60m,test,8.0,5.0,5.0,2.0,0.625,0.4,-1.8200000000000003,-1.1375000000000002
AUD_USD,31-60m,train,28.0,18.0,18.0,11.0,0.6428571428571429,0.6111111111111112,1.5222222222222221,0.9785714285714285
AUD_USD,61-180m,test,483.0,257.0,257.0,99.0,0.5320910973084886,0.3852140077821012,-1.5603112840466926,-0.8302277432712215
AUD_USD,61-180m,train,1096.0,617.0,616.0,254.0,0.5629562043795621,0.41233766233766234,-0.9232142857142858,-0.5188868613138686
AUD_USD,181-360m,test,1315.0,313.0,312.0,140.0,0.23802281368821293,0.44871794871794873,-0.18493589743589758,-0.04387832699619775
AUD_USD,181-360m,train,3358.0,1460.0,1457.0,936.0,0.43478260869565216,0.6424159231297186,3.303706245710365,1.4334425253126866
AUD_USD,361-720m,test,1056.0,815.0,815.0,86.0,0.771780303030303,0.10552147239263804,-4.260490797546012,-3.2881628787878787
AUD_USD,361-720m,train,2775.0,689.0,686.0,263.0,0.24828828828828828,0.38338192419825073,-0.9784256559766764,-0.24187387387387388
AUD_USD,721-1440m,test,233.0,122.0,122.0,64.0,0.5236051502145923,0.5245901639344263,1.4,0.7330472103004291
AUD_USD,721-1440m,train,1996.0,951.0,951.0,135.0,0.47645290581162325,0.14195583596214512,-5.26845425867508,-2.510170340681363
AUD_USD,1441-2880m,test,175.0,63.0,63.0,9.0,0.36,0.14285714285714285,-4.36984126984127,-1.5731428571428572
AUD_USD,1441-2880m,train,954.0,144.0,144.0,50.0,0.1509433962264151,0.3472222222222222,-1.1881944444444443,-0.17935010482180294
AUD_USD,2881-4320m,test,286.0,99.0,99.0,59.0,0.34615384615384615,0.5959595959595959,3.1828282828282832,1.1017482517482518
AUD_USD,2881-4320m,train,777.0,232.0,232.0,71.0,0.2985842985842986,0.30603448275862066,-2.300431034482759,-0.6868725868725869
AUD_USD,4321-7200m,test,96.0,41.0,41.0,11.0,0.4270833333333333,0.2682926829268293,-2.302439024390244,-0.9833333333333334
AUD_USD,4321-7200m,train,311.0,141.0,141.0,63.0,0.4533762057877814,0.44680851063829785,0.041134751773049524,0.018649517684887405
AUD_USD,7201-10080m,test,17.0,17.0,17.0,6.0,1.0,0.35294117647058826,-1.8117647058823532,-1.8117647058823532
AUD_USD,7201-10080m,train,70.0,62.0,62.0,23.0,0.8857142857142857,0.3709677419354839,-1.261290322580645,-1.1171428571428572
AUD_USD,10081-15000m,test,14.0,14.0,14.0,4.0,1.0,0.2857142857142857,-4.328571428571428,-4.328571428571428
AUD_USD,10081-15000m,train,45.0,45.0,45.0,26.0,1.0,0.5777777777777777,2.533333333333333,2.533333333333333
AUD_USD,15001m+,test,8.0,8.0,8.0,1.0,1.0,0.125,-4.2625,-4.2625
AUD_USD,15001m+,train,57.0,55.0,48.0,15.0,0.9649122807017544,0.3125,-1.1875000000000002,-1.0000000000000002
AUD_USD,no_touch_in_history,test,17.0,17.0,17.0,10.0,1.0,0.5882352941176471,3.805882352941176,3.805882352941176
AUD_USD,no_touch_in_history,train,198.0,153.0,151.0,35.0,0.7727272727272727,0.23178807947019867,-3.4218543046357603,-2.609595959595959
